w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
隣,tonari,Noun,"next to, next door",隣 の 家 に は 犬 が います。,となり の いえ に は いぬ が います。,tonari no ie ni ha inu ga imasu.,They have a dog next door.
隣,tonari,Noun,"next to, next door",隣 の 部屋 から テレビ の 音 が 聞こえる 。,となり の へや から てれび の おと が きこえる。,tonari no heya kara terebi no oto ga kikoeru.,I can hear the sound of TV from the next room.
マンション,manshon,Noun,"apartment, residential building",彼 は マンション に 住んで います。,かれ は まんしょん に すんで います。,kare ha manshon ni sunde imasu.,He lives in an apartment.
マンション,manshon,Noun,"apartment, residential building",来年 、 ここ に 大きな マンション が できます 。,らいねん、ここ に おおきな まんしょん が できます。,"rainen,koko ni ookina manshon ga dekimasu.",Next year a big apartment building will be built here.
エレベーター,erebe-ta-,Noun,elevator,エレベーター で 下 に 降りましょう 。,えれべーたー で した に おりましょう。,erebe-ta- de shita ni orimashou.,Let's take the elevator down.
エレベーター,erebe-ta-,Noun,elevator,その エレベーター は 故障 して いて 使えません 。,その えれべーたー は こしょう して いて つかえません。,sono erebe-ta- ha koshou shite ite tsukaemasen.,We can't use the elevator because it's out of order.
窓,mado,Noun,window,窓 を 開けて ください 。,まど を あけて ください。,mado wo akete kudasai.,Please open the window.
窓,mado,Noun,window,鳥 が 窓 から 逃げた よ 。,とり が まど から にげた よ。,tori ga mado kara nigeta yo.,The bird flew out of the window.
押す,osu,Verb,"push, press down",ボタン を 押して ください 。,ぼたん を おして ください。,botan wo oshite kudasai.,Please press the button.
押す,osu,Verb,"push, press down",前 の 人 を 押さないで ください 。,まえ の ひと を おさないで ください。,mae no hito wo osanaide kudasai.,Please don't push the person in front of you.
入学,nyuugaku,Verbal Noun,"enter a school, matriculate",妹 は 九 月 に アメリカ の 大学 に 入学 します 。,いもうと は く がつ に あめりか の だいがく に にゅうがく します。,imouto ha ku gatsu ni amerika no daigaku ni nyuugaku shimasu.,My little sister's entering college in the United States in September.
入学,nyuugaku,Verbal Noun,"enter a school, matriculate",四 月 に 大学 に 入学 しました 。,し がつ に だいがく に にゅうがく しました。,shi gatsu ni daigaku ni nyuugaku shimashita.,I entered my university in April.
戸,to,Noun,"door, sliding door",部屋 の 戸 が 開いて います。,へや の と が あいて います。,heya no to ga aite imasu.,The room's sliding door is open.
戸,to,Noun,"door, sliding door",そこ の 戸 を 閉めて ください 。,そこ の と を しめて ください。,soko no to wo shimete kudasai.,Please close the door there.
通り,toori,Noun,"street, road",この 通り は にぎやか です ね 。,この とおり は にぎやか です ね。,kono toori ha nigiyaka desu ne.,"This street is lively, isn't it?"
通り,toori,Noun,"street, road",この 通り は 車 の 音 が うるさい 。,この とおり は くるま の おと が うるさい。,kono toori ha kuruma no oto ga urusai.,Traffic is noisy on this street.
亡くなる,nakunaru,Verb,"die, pass away",おととい、昔 の 友人 が 亡くなった。,おととい、むかし の ゆうじん が なくなった。,"ototoi,mukashi no yuujin ga nakunatta.",Their old friend died the day before yesterday.
亡くなる,nakunaru,Verb,"die, pass away",祖父 は 去年 、 亡くなりました 。,そふ は きょねん、なくなりました。,"sofu ha kyonen,nakunarimashita.",My grandfather passed away last year.
夫婦,fuufu,Noun,"husband and wife, married couple",その 夫婦 は とても 仲 が いい 。,その ふうふ は とても なか が いい。,sono fuufu ha totemo naka ga ii.,That couple is getting on very well.
夫婦,fuufu,Noun,"husband and wife, married couple",姉 夫婦 に 男の子 が 生まれました。,あね ふうふ に おとこのこ が うまれました。,ane fuufu ni otokonoko ga umaremashita.,My sister and her husband had a baby boy.
女性,josei,Noun,"woman, female (formal)",その パーティー に 女性 は 何 人 来ます か。,その ぱーてぃー に じょせい は なん にん きます か。,sono pa-ti- ni josei ha nan nin kimasu ka.,How many women are coming to the party?
女性,josei,Noun,"woman, female (formal)",私 の 職場 は 女性 の 方 が 多い です 。,わたし の しょくば は じょせい の ほう が おおい です。,watashi no shokuba ha josei no hou ga ooi desu.,There are more women (than men) in my workplace.
森,mori,Noun,forest,私 は 森 を 歩く の が 好き です 。,わたし は もり を あるく の が すき です。,watashi ha mori wo aruku no ga suki desu.,I like to walk in the forest.
森,mori,Noun,forest,その 森 に は クマ が 住んで います 。,その もり に は くま が すんで います。,sono mori ni ha kuma ga sunde imasu.,Bears live in the forest.
トラック,torakku,Noun,truck,トラック を 運転 できます か 。,とらっく を うんてん できます か。,torakku wo unten dekimasu ka.,Can you drive a truck?
トラック,torakku,Noun,truck,私 たち は トラック で その ピアノ を 運びました 。,わたし たち は とらっく で その ぴあの を はこびました。,watashi tachi ha torakku de sono piano wo hakobimashita.,We transported the piano on a truck.
レコード,reko-do,Noun,record,ジャズ の レコード を かけました 。,じゃず の れこーど を かけました。,jazu no reko-do wo kakemashita.,I put on a jazz record.
レコード,reko-do,Noun,record,父 は 古い レコード を 集めて います 。,ちち は ふるい れこーど を あつめて います。,chichi ha furui reko-do wo atsumete imasu.,My father collects old records.
熱,netsu,Noun,"heat, fever",昨日 の 夜、熱 が 出ました。,きのう の よる、ねつ が でました。,"kinou no yoru,netsu ga demashita.",I had a fever last night.
熱,netsu,Noun,"heat, fever",熱 が ある ので お医者さん に 行った 。,ねつ が ある ので おいしゃさん に いった。,netsu ga aru node oishasan ni itta.,I went to the doctor because I had a fever.
ページ,pe-ji,Noun,page,教科書 の 36 ページ を 開いて ください 。,きょうかしょ の 36 ぺーじ を ひらいて ください。,kyoukasho no 36 pe-ji wo hiraite kudasai.,Please open your textbooks to page 36.
ページ,pe-ji,Noun,page,5 ページ の 最初 を 見て ください 。,5 ぺーじ の さいしょ を みて ください。,5 pe-ji no saisho wo mite kudasai.,Please look at the beginning of page 5.
踊る,odoru,Verb,dance,彼女 は クラブ で 踊る の が 好き です 。,かのじょ は くらぶ で おどる の が すき です。,kanojo ha kurabu de odoru no ga suki desu.,She likes to dance at a club.
踊る,odoru,Verb,dance,若者 が 道 で 踊って いる 。,わかもの が みち で おどって いる。,wakamono ga michi de odotte iru.,Young people are dancing on the street.
長さ,nagasa,Noun,length,この ケーブル の 長さ は 1 メートル です。,この けーぶる の ながさ は 1 めーとる です。,kono ke-buru no nagasa ha 1 me-toru desu.,The length of this cable is one meter.
長さ,nagasa,Noun,length,今日 は 昼 と 夜 の 長さ が 同じ です 。,きょう は ひる と よる の ながさ が おなじ です。,kyou ha hiru to yoru no nagasa ga onaji desu.,"Today, day and night are the same length."
厚さ,atsusa,Noun,thickness,私 は 板 の 厚さ を 測った。,わたし は いた の あつさ を はかった。,watashi ha ita no atsusa wo hakatta.,I measured the thickness of the board.
厚さ,atsusa,Noun,thickness,この 部屋 は 壁 の 厚さ が 十分 で は ありません 。,この へや は かべ の あつさ が じゅうぶん で は ありません。,kono heya ha kabe no atsusa ga juubun de ha arimasen.,The walls are not thick enough (the thickness is not enough).
秘密,himitsu,Adjectival Noun,"secret, privacy",これ は 秘密 です 。,これ は ひみつ です。,kore ha himitsu desu.,This is a secret.
秘密,himitsu,Adjectival Noun,"secret, privacy",彼 は いつも 秘密 を 守りません 。,かれ は いつも ひみつ を まもりません。,kare ha itsumo himitsu wo mamorimasen.,He never keeps secrets.
凄い,sugoi,Adjective,"great, incredible",凄い 雨 に なった 。,すごい あめ に なった。,sugoi ame ni natta.,It began raining heavily.
凄い,sugoi,Adjective,"great, incredible",彼はいつもテストで100点を取ります。凄い人です。,かれ は いつも てすと で 100 てん を とります。 すごい ひと です。,kare ha itsumo tesuto de 100 ten wo torimasu. sugoi hito desu.,He always gets perfect scores on tests. He is an incredible person.
親切,shinsetsu,Adjectival Noun,"kind, kindhearted",親切 に して くださって どうも ありがとう ございます 。,しんせつ に して くださって どうも ありがとう ございます。,shinsetsu ni shite kudasatte doumo arigatou gozaimasu.,Thank you for being so kind to me.
親切,shinsetsu,Adjectival Noun,"kind, kindhearted",あの 村 の 人々 は とても 親切 です 。,あの むら の ひとびと は とても しんせつ です。,ano mura no hitobito ha totemo shinsetsu desu.,People in that village are very kind.
絶対,zettai,Adverb,"absolutely, never",そんな こと は 絶対 できない よ 。,そんな こと は ぜったい できない よ。,sonna koto ha zettai dekinai yo.,I can never ever do such a thing.
絶対,zettai,Adverb,"absolutely, never",絶対 に 駄目 です。,ぜったい に だめ です。,zettai ni dame desu.,Absolutely not.
先月,sengetsu,Noun,last month,先月、友達 の 結婚 式 が あった。,せんげつ、ともだち の けっこん しき が あった。,"sengetsu,tomodachi no kekkon shiki ga atta.",My friend had a wedding last month.
先月,sengetsu,Noun,last month,先月 の 七日 に 孫 が 生まれました 。,せんげつ の なのか に まご が うまれました。,sengetsu no nanoka ni mago ga umaremashita.,My grandchild was born on the seventh of last month.
一昨年,ototoshi,Noun,the year before last (colloquial),一昨年 初めて 京都 へ 旅行 しました 。,おととし はじめて きょうと へ りょこう しました。,ototoshi hajimete kyouto he ryokou shimashita.,I first traveled to Kyoto the year before last.
一昨年,ototoshi,Noun,the year before last (colloquial),私 は 一昨年 日本 に 来ました 。,わたし は おととし にほん に きました。,watashi ha ototoshi nihon ni kimashita.,I came to Japan the year before last.
冬休み,fuyuyasumi,Noun,winter vacation,冬休み に お祖父 ちゃん の 家 に 行きます 。,ふゆやすみ に おじいちゃん の うち に いきます。,fuyuyasumi ni ojiichan no uchi ni ikimasu.,I'm going to my grandpa's house during winter break.
冬休み,fuyuyasumi,Noun,winter vacation,冬休み は 12 月 25 日 に 始まります 。,ふゆやすみ は 12 がつ 25 にち に はじまります。,fuyuyasumi ha 12 gatsu 25 nichi ni hajimarimasu.,Winter break starts on December 25th.
夏休み,natsuyasumi,Noun,summer vacation,夏休み に お祖母ちゃん の 家 へ 行きました 。,なつやすみ に おばあちゃん の うち へ いきました。,natsuyasumi ni obaachan no uchi he ikimashita.,I went to my grandma's house during summer vacation.
夏休み,natsuyasumi,Noun,summer vacation,今日 が 夏休み 最後 の 日 だ 。,きょう が なつやすみ さいご の ひ だ。,kyou ga natsuyasumi saigo no hi da.,Today's the last day of summer vacation.
休日,kyuujitsu,Noun,"day off, holiday",休日 は 家 で よく テレビ を 見ます 。,きゅうじつ は いえ で よく てれび を みます。,kyuujitsu ha ie de yoku terebi wo mimasu.,I often watch television at home on my days off.
休日,kyuujitsu,Noun,"day off, holiday",明後日 は 休日 です 。,あさって は きゅうじつ です。,asatte ha kyuujitsu desu.,The day after tomorrow's a holiday.
正月,shougatsu,Noun,New Year,お正月 に は たいてい、家族 が 集まる。,おしょうがつ に は たいてい、かぞく が あつまる。,"oshougatsu ni ha taitei,kazoku ga atsumaru.",Our family usually gets together for the New Year.
正月,shougatsu,Noun,New Year,お正月 に は いろいろな 遊び を します 。,おしょうがつ に は いろいろな あそび を します。,oshougatsu ni ha iroirona asobi wo shimasu.,We play a lot of games at New Year's.
思い出,omoide,Noun,memory,旅行 で 楽しい 思い出 が できました 。,りょこう で たのしい おもいで が できました。,ryokou de tanoshii omoide ga dekimashita.,I made wonderful memories during my trip.
思い出,omoide,Noun,memory,写真 は 良い 思い出 に なります 。,しゃしん は いい おもいで に なります。,shashin ha ii omoide ni narimasu.,Photographs make a good souvenir.
たまに,tamani,Adverb,"occasionally, sometimes",彼 は たまに 料理 を します 。,かれ は たまに りょうり を します。,kare ha tamani ryouri wo shimasu.,He cooks on some occasions.
たまに,tamani,Adverb,"occasionally, sometimes",私 は たまに 映画 を 見ます 。,わたし は たまに えいが を みます。,watashi ha tamani eiga wo mimasu.,I sometimes watch movies.
おかしい,okashii,Adjective,"strange, peculiar",彼 の 様子 が おかしい 。,かれ の ようす が おかしい。,kare no yousu ga okashii.,He's acting strange.
おかしい,okashii,Adjective,"strange, peculiar",近頃、彼女 の 様子 が おかしい。,ちかごろ、かのじょ の ようす が おかしい。,"chikagoro,kanojo no yousu ga okashii.",She's been behaving strangely these days.
浅い,asai,Adjective,"shallow, superficial",この 川 は 浅い です 。,この かわ は あさい です。,kono kawa ha asai desu.,This river is shallow.
浅い,asai,Adjective,"shallow, superficial",ここ は 浅くて 泳げません 。,ここ は あさくて およげません。,koko ha asakute oyogemasen.,"We can't swim here, because it's shallow."
君,kimi,Noun,you (referring to fellows or subordinates),この 本 を 君 に あげます 。,この ほん を きみ に あげます。,kono hon wo kimi ni agemasu.,I'm going to give you this book.
君,kimi,Noun,you (referring to fellows or subordinates),君 は 何 を 言って いる の か な 。,きみ は なに を いって いる の か な。,kimi ha nani wo itte iru no ka na.,What are you talking about?
奥さん,okusan,Noun,"(someone else's) wife, married woman",彼 の 奥さん は きれいな 方 です 。,かれ の おくさん は きれいな かた です。,kare no okusan ha kireina kata desu.,His wife is beautiful.
奥さん,okusan,Noun,"(someone else's) wife, married woman",彼 は 奥さん より 年下 です 。,かれ は おくさん より としした です。,kare ha okusan yori toshishita desu.,He's younger than his wife.
赤ちゃん,akachan,Noun,baby (colloquial),ベッド で 赤ちゃん が 眠って います。,べっど で あかちゃん が ねむって います。,beddo de akachan ga nemutte imasu.,The baby's sleeping in the bed.
赤ちゃん,akachan,Noun,baby (colloquial),赤ちゃん に ミルク を あげた 。,あかちゃん に みるく を あげた。,akachan ni miruku wo ageta.,I gave the baby some milk.
小学生,shougakusei,Noun,elementary school student,うち の 息子 は 来年、小学生 に なります。,うち の むすこ は らいねん、しょうがくせい に なります。,"uchi no musuko ha rainen,shougakusei ni narimasu.",Our son will start primary school next year.
小学生,shougakusei,Noun,elementary school student,私 の 妹 は 小学生 です 。,わたし の いもうと は しょうがくせい です。,watashi no imouto ha shougakusei desu.,My little sister goes to elementary school.
貸す,kasu,Verb,"lend, lease",私 は 彼 に 本 を 貸して います。,わたし は かれ に ほん を かして います。,watashi ha kare ni hon wo kashite imasu.,I'm lending him a book.
貸す,kasu,Verb,"lend, lease",ペン を 貸して ください 。,ぺん を かして ください。,pen wo kashite kudasai.,Can I borrow a pen?
数える,kazoeru,Verb,count,いす の 数 を 数えて ください 。,いす の かず を かぞえて ください。,isu no kazu wo kazoete kudasai.,Please count the number of chairs.
数える,kazoeru,Verb,count,その 子 は 指 で 十 数えました 。,その こ は ゆび で じゅう かぞえました。,sono ko ha yubi de juu kazoemashita.,The child counted to ten on her fingers.
生む,umu,Verb,"give birth, produce",うち の ネコ が 子 ネコ を 生みました 。,うち の ねこ が こ ねこ を うみました。,uchi no neko ga ko neko wo umimashita.,Our cat had kittens.
生む,umu,Verb,"give birth, produce",妻 は いつか 子供 を 生みたい と 言って います 。,つま は いつか こども を うみたい と いって います。,tsuma ha itsuka kodomo wo umitai to itte imasu.,My wife says she wants to give birth to a baby someday.
育つ,sodatsu,Verb,"be brought up, grow",野菜 が よく 育って いる。,やさい が よく そだって いる。,yasai ga yoku sodatte iru.,The vegetables are growing well.
育つ,sodatsu,Verb,"be brought up, grow",寝る 子 は 育つ 。,ねる こ は そだつ。,neru ko ha sodatsu.,A child who sleeps well grows well.
是非,zehi,Adverb,"by all means, please",是非、うち に 来て ください。,ぜひ、うち に きて ください。,"zehi,uchi ni kite kudasai.",Please come to my house.
是非,zehi,Adverb,"by all means, please",みなさん、 是非 一緒 に 歌って ください 。,みなさん、ぜひ いっしょ に うたって ください。,"minasan,zehi issho ni utatte kudasai.","Everybody, please feel free to sing with me."
黒,kuro,Noun,black color,黒 の ボールペン は あります か 。,くろ の ぼーるぺん は あります か。,kuro no bo-rupen ha arimasu ka.,Do you have a black pen?
黒,kuro,Noun,black color,その 黒 の セーター 、 いい です ね 。,その くろ の せーたー、いい です ね。,"sono kuro no se-ta-,ii desu ne.",The black sweater is nice.
おもちゃ,omocha,Noun,"toy, plaything",赤ちゃん が 自動車 の おもちゃ で 遊んで いる。,あかちゃん が じどうしゃ の おもちゃ で あそんで いる。,akachan ga jidousha no omocha de asonde iru.,The baby's playing with a toy car.
おもちゃ,omocha,Noun,"toy, plaything",息子 は 飛行機 の おもちゃ が 好き です 。,むすこ は ひこうき の おもちゃ が すき です。,musuko ha hikouki no omocha ga suki desu.,My son likes toy airplanes.
靴,kutsu,Noun,shoes,靴 が 汚れた 。,くつ が よごれた。,kutsu ga yogoreta.,My shoes got dirty.
靴,kutsu,Noun,shoes,この 靴 は 1 万 円 です 。,この くつ は 1 まん えん です。,kono kutsu ha 1 man en desu.,These shoes are ten thousand yen.
連絡,renraku,Verbal Noun,"contact, communication",仕事 が 終わったら 連絡 します 。,しごと が おわったら れんらく します。,shigoto ga owattara renraku shimasu.,I'll contact you when I finish my work.
連絡,renraku,Verbal Noun,"contact, communication",娘 から 1 週間 、 連絡 が ありません 。,むすめ から 1 しゅうかん、れんらく が ありません。,"musume kara 1 shuukan,renraku ga arimasen.",I haven't heard from my daughter for a week.
伝言,dengon,Verbal Noun,message (left by someone),課長 から 伝言 が あります 。,かちょう から でんごん が あります。,kachou kara dengon ga arimasu.,There's a message from the section chief.
伝言,dengon,Verbal Noun,message (left by someone),伝言 を お願い できます か 。,でんごん を おねがい できます か。,dengon wo onegai dekimasu ka.,Can I leave a message?
預ける,azukeru,Verb,"deposit, leave (something) with (someone)",鍵 を 彼 に 預けた 。,かぎ を かれ に あずけた。,kagi wo kare ni azuketa.,I left a key with him.
預ける,azukeru,Verb,"deposit, leave (something) with (someone)",今日 は 姉 に 子供 を 預けます 。,きょう は あね に こども を あずけます。,kyou ha ane ni kodomo wo azukemasu.,Today I'll leave my children with my sister.
下がる,sagaru,Verb,"go down, drop",やっと 熱 が 下がった 。,やっと ねつ が さがった。,yatto netsu ga sagatta.,His fever finally went down.
下がる,sagaru,Verb,"go down, drop",あなた の 成績 が 下がった の は 当たり前 です 。,あなた の せいせき が さがった の は あたりまえ です。,anata no seiseki ga sagatta no ha atarimae desu.,No wonder your grades dropped.
泳ぐ,oyogu,Verb,swim,彼女 は ダイエット の ため に 泳いで いる。,かのじょ は だいえっと の ため に およいで いる。,kanojo ha daietto no tame ni oyoide iru.,She swims to lose weight.
泳ぐ,oyogu,Verb,swim,魚 が たくさん 泳いで います。,さかな が たくさん およいで います 。,sakana ga takusan oyoide imasu .,There are a lot of fish swimming.
アルバイト,arubaito,Verbal Noun,part-time job,兄 は アルバイト を して います。,あに は あるばいと を して います。,ani ha arubaito wo shite imasu.,My big brother works part-time.
アルバイト,arubaito,Verbal Noun,part-time job,夏休み に コーヒー ショップ で アルバイト を しました 。,なつやすみ に こーひー しょっぷ で あるばいと を しました。,natsuyasumi ni ko-hi- shoppu de arubaito wo shimashita.,During the summer vacation I had a part-time job at a coffee shop.
コート,ko-to,Noun,"coat, jacket (loan word)",寒かった ので コート を 着た 。,さむかった ので こーと を きた。,samukatta node ko-to wo kita.,I put on a coat because it was cold.
コート,ko-to,Noun,"coat, jacket (loan word)",この コート は とても 暖かい 。,この こーと は とても あたたかい。,kono ko-to ha totemo atatakai.,This coat is really warm.
趣味,shumi,Noun,"hobby, interest",私 の 趣味 は 映画 と テニス です 。,わたし の しゅみ は えいが と てにす です。,watashi no shumi ha eiga to tenisu desu.,My hobbies are playing tennis and watching movies.
趣味,shumi,Noun,"hobby, interest",私 の 趣味 は 読書 です 。,わたし の しゅみ は どくしょ です。,watashi no shumi ha dokusho desu.,My hobby is reading.
散歩,sanpo,Verbal Noun,"walk, stroll",公園 を 散歩 しよう か 。,こうえん を さんぽ しよう か。,kouen wo sanpo shiyou ka.,Do you want to take a walk in the park?
散歩,sanpo,Verbal Noun,"walk, stroll",海岸 を 散歩 しましょう 。,かいがん を さんぽ しましょう。,kaigan wo sanpo shimashou.,Let's take a walk along the coast.
幸せ,shiawase,Adjectival Noun,"happiness, satisfied (colloquial)",良い 友達 が いて 私 は 幸せ だ 。,いい ともだち が いて わたし は しあわせ だ。,ii tomodachi ga ite watashi ha shiawase da.,I'm happy that I have good friends.
幸せ,shiawase,Adjectival Noun,"happiness, satisfied (colloquial)",私 は この 結婚 生活 に 幸せ を 感じて いない 。,わたし は この けっこん せいかつ に しあわせ を かんじて いない。,watashi ha kono kekkon seikatsu ni shiawase wo kanjite inai.,I'm not happy about my married life.
安心,anshin,Verbal Noun,"peace of mind, relief",それ を 聞いて 安心 しました 。,それ を きいて あんしん しました。,sore wo kiite anshin shimashita.,I was relieved to hear that.
安心,anshin,Verbal Noun,"peace of mind, relief",安心 する の は まだ 早い です 。,あんしん する の は まだ はやい です。,anshin suru no ha mada hayai desu.,It's too early to breathe a sigh of relief.
大勢,oozei,Noun,"large numbers, a lot of (people)",大勢 で 食事 に 出かけました 。,おおぜい で しょくじ に でかけました。,oozei de shokuji ni dekakemashita.,We went out to eat in a large group.
大勢,oozei,Noun,"large numbers, a lot of (people)",その パーティー に 大勢 人 が 来ました 。,その ぱーてぃー に おおぜい ひと が きました。,sono pa-ti- ni oozei hito ga kimashita.,Many people came to the party.
医者,isha,Noun,"doctor (colloquial, plain)",私 は 医者 に 相談 した 。,わたし は いしゃ に そうだん した。,watashi ha isha ni soudan shita.,I consulted the doctor.
医者,isha,Noun,"doctor (colloquial, plain)",彼 は 医者 に なりました 。,かれ は いしゃ に なりました。,kare ha isha ni narimashita.,He became a doctor.
運転手,untenshu,Noun,driver,彼 は タクシー の 運転手 です 。,かれ は たくしー の うんてんしゅ です。,kare ha takushi- no untenshu desu.,He's a taxi driver.
運転手,untenshu,Noun,driver,私 の 父 は トラック の 運転手 です 。,わたし の ちち は とらっく の うんてんしゅ です。,watashi no chichi ha torakku no untenshu desu.,My father is a truck driver.
新幹線,shinkansen,Noun,bullet train,新幹線 で 京都 に 行きました 。,しんかんせん で きょうと に いきました。,shinkansen de kyouto ni ikimashita.,I went to Kyoto by bullet train.
新幹線,shinkansen,Noun,bullet train,新幹線 の 速さ は どれ くらい です か。,しんかんせん の はやさ は どれ くらい です か。,shinkansen no hayasa ha dore kurai desu ka.,How fast is the bullet train?
往復,oufuku,Noun,round trip,往復 切符 を ください 。,おうふく きっぷ を ください。,oufuku kippu wo kudasai.,I'd like a roundtrip ticket please.
往復,oufuku,Noun,round trip,会社 まで 往復 で 2 時間 かかります 。,かいしゃ まで おうふく で 2 じかん かかります。,kaisha made oufuku de 2 jikan kakarimasu.,It takes two hours to get to work and back.
コピー,kopi-,Verbal Noun,"copy, photocopy",会議 で 書類 の コピー を 配った 。,かいぎ で しょるい の こぴー を くばった。,kaigi de shorui no kopi- wo kubatta.,I handed out copies of the document at the meeting.
コピー,kopi-,Verbal Noun,"copy, photocopy",カラー コピー は 一 枚 いくら です か 。,からー こぴー は いち まい いくら です か。,kara- kopi- ha ichi mai ikura desu ka.,How much is a color copy?
奥,oku,Noun,"inner part, the back",鋏 は 机 の 奥 に あった 。,はさみ は つくえ の おく に あった。,hasami ha tsukue no oku ni atta.,The scissors were at the back of the desk.
奥,oku,Noun,"inner part, the back",部屋 の 奥 に 大きな クローゼット が あります 。,へや の おく に おおきな くろーぜっと が あります。,heya no oku ni ookina kuro-zetto ga arimasu.,There is a big closet in the back of the room.
重さ,omosa,Noun,weight,この 荷物 の 重さ を 量って ください 。,この にもつ の おもさ を はかって ください 。,kono nimotsu no omosa wo hakatte kudasai .,Please weigh this luggage.
重さ,omosa,Noun,weight,彼 は 自分 の 言葉 の 重さ が 分かって いません 。,かれ は じぶん の ことば の おもさ が わかって いません。,kare ha jibun no kotoba no omosa ga wakatte imasen.,He doesn't know the weight of his words.
親しい,shitashii,Adjective,"intimate, close",週末 、 親しい 友達 を 家 に 呼んだ 。,しゅうまつ、 したしい ともだち を いえ に よんだ。,"shuumatsu, shitashii tomodachi wo ie ni yonda.",I invited a close friend to my house over the weekend.
親しい,shitashii,Adjective,"intimate, close",私 は 、 親しい 女性 は 下 の 名前 で 呼びます 。,わたし は、 したしい じょせい は した の なまえ で よびます。,"watashi ha, shitashii josei ha shita no namae de yobimasu.",I address women I'm close with by their first names.
修理,shuuri,Verbal Noun,"repair, mending",車 を 修理 に 出した 。,くるま を しゅうり に だした。,kuruma wo shuuri ni dashita.,I sent my car for repair.
修理,shuuri,Verbal Noun,"repair, mending",車 の モーター を 修理 した ぜ 。,くるま の もーたー を しゅうり した ぜ。,kuruma no mo-ta- wo shuuri shita ze.,I repaired the car's motor.
カード,ka-do,Noun,card,支払い は カード で お願い します。,しはらい は かーど で おねがい します。,shiharai ha ka-do de onegai shimasu.,Please pay by credit card.
カード,ka-do,Noun,card,母 の 日 に 母 に カード を 書きました 。,はは の ひ に はは に かーど を かきました。,haha no hi ni haha ni ka-do wo kakimashita.,"On Mother's Day, I wrote my mother a card."
挨拶,aisatsu,Verbal Noun,"greet, greeting",彼女 は 笑顔 で 挨拶 した 。,かのじょ は えがお で あいさつ した。,kanojo ha egao de aisatsu shita.,She greeted me with a smile.
挨拶,aisatsu,Verbal Noun,"greet, greeting",始め に 会長 が 挨拶 した。,はじめ に かいちょう が あいさつ した。,hajime ni kaichou ga aisatsu shita.,First was the chairman's greetings.
階段,kaidan,Noun,"steps, flight of stairs",私 たち は 駅 の 階段 を かけ上がった。,わたし たち は えき の かいだん を かけあがった。,watashi tachi ha eki no kaidan wo kakeagatta.,We ran up the station steps.
階段,kaidan,Noun,"steps, flight of stairs",そこ の 階段 を 下りて ください 。,そこ の かいだん を おりて ください。,soko no kaidan wo orite kudasai.,Please go down those stairs.
配る,kubaru,Verb,"hand out, distribute",会議 で 書類 を 配った 。,かいぎ で しょるい を くばった。,kaigi de shorui wo kubatta.,I handed out the document at the meeting.
配る,kubaru,Verb,"hand out, distribute",道 で よく ティッシュ を 配って います 。,みち で よく てぃっしゅ を くばって います。,michi de yoku tisshu wo kubatte imasu.,Tissue packs are often handed out on the street.
断る,kotowaru,Verb,"refuse, turn down",私 は 彼 の プロポーズ を 断った 。,わたし は かれ の ぷろぽーず を ことわった。,watashi ha kare no puropo-zu wo kotowatta.,I turned down his marriage proposal.
断る,kotowaru,Verb,"refuse, turn down",来週 の パーティー は 断りました 。,らいしゅう の ぱーてぃー は ことわりました。,raishuu no pa-ti- ha kotowarimashita.,I turned down the party (invite) next week.
グラム,guramu,Noun,gram,ひき肉 を 200 グラム ください 。,ひきにく を 200 ぐらむ ください。,hikiniku wo 200 guramu kudasai.,Please give me 200 grams of ground meat.
グラム,guramu,Noun,gram,パンダ の 赤ちゃん は 生まれた 時 、 147 グラム しか ありません でした 。,ぱんだ の あかちゃん は うまれた とき、147 ぐらむ しか ありません でした。,"panda no akachan ha umareta toki,147 guramu shika arimasen deshita.",The baby panda weighed only 147 grams when it was born.
濃い,koi,Adjective,"strong, concentrated",私 は 濃い 味 が 好き だ 。,わたし は こい あじ が すき だ。,watashi ha koi aji ga suki da.,I like strong tastes.
濃い,koi,Adjective,"strong, concentrated",彼 は 眉 が 濃い ね 。,かれ は まゆ が こい ね。,kare ha mayu ga koi ne.,He has thick eyebrows.
壊す,kowasu,Verb,"break (something), destroy",彼女 が 私 の ケータイ を 壊した 。,かのじょ が わたし の けーたい を こわした。,kanojo ga watashi no ke-tai wo kowashita.,She destroyed my cell phone.
壊す,kowasu,Verb,"break (something), destroy",息子 が 私 の 眼鏡 を 壊しました 。,むすこ が わたし の めがね を こわしました。,musuko ga watashi no megane wo kowashimashita.,My son broke my glasses.
桜,sakura,Noun,"cherry tree, cherry blossom",桜 は 三 月 か 四 月 に 咲きます 。,さくら は さん がつ か し がつ に さきます。,sakura ha san gatsu ka shi gatsu ni sakimasu.,Cherry blossoms bloom in March or April.
桜,sakura,Noun,"cherry tree, cherry blossom",桜 の 花 が 咲きました 。,さくら の はな が さきました。,sakura no hana ga sakimashita.,The cherry blossoms have bloomed.
仕方,shikata,Noun,"way, method",ファイル の ダウンロード の 仕方 が 分かりません 。,ふぁいる の だうんろーど の しかた が わかりません。,fairu no daunro-do no shikata ga wakarimasen.,I don't know how to download the file.
